variable,demand_site,wba_group,delivery_group,groundwater,include,Demand,Supply_Source,project,branch,start,end,sign
transmission_link_from_folsom_south_canal_cm_025_cvp_to_u_60n_pu,u_60n_pu,cvp_total,cvp_total,FALSE,TRUE,U_60N_PU,Folsom South Canal CM 025 CVP,cvp,Supply and Resources\Transmission Links\to U_60N_PU\from Folsom South Canal CM 025 CVP: Flow,March,February,1
transmission_link_from_el_dorado_hills_wtp_cvp_to_u_eldid_nu3,u_eldid_nu3,cvp_total,cvp_total,FALSE,TRUE,U_ELDID_NU3,El Dorado Hills WTP CVP,cvp,Supply and Resources\Transmission Links\to U_ELDID_NU3\from El Dorado Hills WTP CVP: Flow,March,February,1
transmission_link_from_upper_dmc_to_cvp_upper_dmc_add_h_and_s,cvp_upper_dmc_add_h_and_s,cvp_total,cvp_total,FALSE,TRUE,CVP Upper DMC Add H and S,Upper DMC,cvp,Supply and Resources\Transmission Links\to CVP Upper DMC Add H and S\from Upper DMC: Flow,March,February,1
transmission_link_from_lower_dmc_to_cvp_lower_dmc_losses,cvp_lower_dmc_losses,conveyance_loss,conveyance_loss,FALSE,FALSE,CVP Lower DMC Losses,Lower DMC,cvp,Supply and Resources\Transmission Links\to CVP Lower DMC Losses\from Lower DMC: Flow,March,February,1
transmission_link_from_upper_dmc_to_cvp_upper_dmc_losses,cvp_upper_dmc_losses,conveyance_loss,conveyance_loss,FALSE,FALSE,CVP Upper DMC Losses,Upper DMC,cvp,Supply and Resources\Transmission Links\to CVP Upper DMC Losses\from Upper DMC: Flow,March,February,1
transmission_link_from_cvp_san_luis_canal_to_cvp_san_luis_canal_losses_r3_to_r7,cvp_san_luis_canal_losses_r3_to_r7,conveyance_loss,conveyance_loss,FALSE,FALSE,CVP San Luis Canal Losses R3 to R7,CVP San Luis Canal,cvp,Supply and Resources\Transmission Links\to CVP San Luis Canal Losses R3 to R7\from CVP San Luis Canal: Flow,March,February,1
transmission_link_from_ca_r8_to_18a_to_swp_centralcoasttulare_makeupwater,swp_centralcoasttulare_makeupwater,swp_table_a_total,swp_table_a_total,FALSE,TRUE,SWP CentralCoastTulare MakeUpWater,CA R8 to 18A,swp,Supply and Resources\Transmission Links\to SWP CentralCoastTulare MakeUpWater\from CA R8 to 18A: Flow,January,December,1
transmission_link_from_ca_r8_to_18a_to_swp_centralcoasttulare_table_a,swp_centralcoasttulare_table_a,swp_table_a_total,swp_table_a_total,FALSE,TRUE,SWP CentralCoastTulare Table A,CA R8 to 18A,swp,Supply and Resources\Transmission Links\to SWP CentralCoastTulare Table A\from CA R8 to 18A: Flow,January,December,1
transmission_link_from_ca_r1_to_r2_to_swp_san_joaquin_makeupwater,swp_san_joaquin_makeupwater,swp_table_a_total,swp_table_a_total,FALSE,TRUE,SWP San Joaquin MakeUpWater,CA R1 to R2,swp,Supply and Resources\Transmission Links\to SWP San Joaquin MakeUpWater\from CA R1 to R2: Flow,January,December,1
transmission_link_from_ca_r1_to_r2_to_swp_san_joaquin_table_a,swp_san_joaquin_table_a,swp_table_a_total,swp_table_a_total,FALSE,TRUE,SWP San Joaquin Table A,CA R1 to R2,swp,Supply and Resources\Transmission Links\to SWP San Joaquin Table A\from CA R1 to R2: Flow,January,December,1
